Player Name,Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
Ray Allen,2000,1996-97,82,117,298,39.3,117
Ray Allen,2001,1997-98,82,134,368,36.4,251
Ray Allen,2002,1998-99,50,74,208,35.6,325
Ray Allen,2003,1999-00,82,172,407,42.3,497
Ray Allen,2004,2000-01,82,202,467,43.3,699
Ray Allen,2005,2001-02,69,229,528,43.4,928
Ray Allen,2006,2002-03,76,201,533,74.6,1129
Ray Allen,2007,2003-04,56,148,378,39.2,1277
Ray Allen,2008,2004-05,78,209,556,37.6,1486
Ray Allen,2009,2005-06,78,269,653,41.2,1755
Ray Allen,2010,2006-07,55,165,443,37.2,1920
Ray Allen,2011,2007-08,73,180,452,39.8,2100
Ray Allen,2012,2008-09,79,199,486,40.9,2299
Ray Allen,2013,2009-10,80,145,399,36.3,2444
Ray Allen,2014,2010-11,80,168,378,44.4,2612
Ray Allen,2015,2011-12,46,106,234,45.3,2718
Ray Allen,2016,2012-13,79,139,332,41.9,2857
Ray Allen,2017,2013-14,73,116,309,37.5,2973
Stephen Curry,2000,2009-10,80,166,380,43.7,166
Stephen Curry,2001,2010-11,74,151,342,44.2,317
Stephen Curry,2002,2011-12,26,55,121,45.5,372
Stephen Curry,2003,2012-13,78,272,600,45.3,644
Stephen Curry,2004,2013-14,78,261,615,42.4,905
Stephen Curry,2005,2014-15,80,286,646,44.3,1191
Stephen Curry,2006,2015-16,79,402,886,45.4,1593
Stephen Curry,2007,2016-17,79,324,789,41.1,1917
Stephen Curry,2008,2017-18,51,212,501,42.3,2129
Stephen Curry,2009,2018-19,69,354,810,43.7,2483
Stephen Curry,2010,2019-20,5,12,49,24.5,2495
Stephen Curry,2011,2020-21,63,337,801,42.1,2832
Damian Lilliard,2000,2012-13,82,185,503,36.8,185
Damian Lilliard,2001,2013-14,82,218,554,39.4,403
Damian Lilliard,2002,2014-15,82,196,572,34.3,599
Damian Lilliard,2003,2015-16,75,229,610,37.5,828
Damian Lilliard,2004,2016-17,75,214,579,37,1042
Damian Lilliard,2005,2017-18,73,227,629,36.1,1269
Damian Lilliard,2006,2018-19,80,237,643,36.9,1506
Damian Lilliard,2007,2019-20,66,270,674,40.1,1776
Damian Lilliard,2008,2020-21,67,275,704,39.1,2051
D'Angelo Russell,2000,2015-16,80,130,370,35.1,130
D'Angelo Russell,2001,2016-17,63,135,384,35.2,265
D'Angelo Russell,2002,2017-18,48,90,278,32.4,355
D'Angelo Russell,2003,2018-19,81,234,635,36.9,589
D'Angelo Russell,2004,2019-20,33,120,321,37.4,709
D'Angelo Russell,2005,2019-20,12,38,110,34.5,747
D'Angelo Russell,2006,2019-20,45,158,431,36.7,905
D'Angelo Russell,2007,2020-21,42,120,310,38.7,1025
Eric Gordon,2000,2008-09,78,131,337,38.9,131
Eric Gordon,2001,2009-10,62,119,321,37.1,250
Eric Gordon,2002,2010-11,56,106,291,36.4,356
Eric Gordon,2003,2011-12,9,10,40,25,366
Eric Gordon,2004,2012-13,42,56,173,32.4,422
Eric Gordon,2005,2013-14,64,101,258,39.1,523
Eric Gordon,2006,2014-15,61,141,315,44.8,664
Eric Gordon,2007,2015-16,45,113,294,38.4,777
Eric Gordon,2008,2016-17,75,246,661,37.2,1023
Eric Gordon,2009,2017-18,69,218,608,35.9,1241
Eric Gordon,2010,2018-19,68,216,600,36,1457
Eric Gordon,2011,2019-20,36,96,303,31.7,1553
Eric Gordon,2012,2020-21,27,69,210,32.9,1622
James Harden,2000,2009-10,76,93,248,37.5,93
James Harden,2001,2010-11,82,113,324,34.9,206
James Harden,2002,2011-12,62,114,292,39,320
James Harden,2003,2012-13,78,179,486,36.8,499
James Harden,2004,2013-14,73,177,483,36.6,676
James Harden,2005,2014-15,81,208,555,37.5,884
James Harden,2006,2015-16,82,236,657,35.9,1120
James Harden,2007,2016-17,81,262,756,34.7,1382
James Harden,2008,2017-18,72,265,722,36.7,1647
James Harden,2009,2018-19,78,378,1028,36.8,2025
James Harden,2010,2019-20,68,299,843,35.5,2324
James Harden,2011,2020-21,8,25,72,34.7,2349
James Harden,2012,2020-21,36,96,262,36.6,2445
James Harden,2013,2020-21,44,121,334,36.2,2566
Buddy Hield,2000,2016-17,57,89,241,36.9,89
Buddy Hield,2001,2016-17,25,59,138,42.8,148
Buddy Hield,2002,2016-17,82,148,379,39.1,296
Buddy Hield,2003,2017-18,80,176,408,43.1,472
Buddy Hield,2004,2018-19,82,278,651,42.7,750
Buddy Hield,2005,2019-20,72,271,688,39.4,1021
Buddy Hield,2006,2020-21,71,282,721,39.1,1303
Klay Thompson,2000,2011-12,66,111,268,41.4,111
Klay Thompson,2001,2012-13,82,211,526,40.1,322
Klay Thompson,2002,2013-14,81,223,535,41.7,545
Klay Thompson,2003,2014-15,77,239,545,43.9,784
Klay Thompson,2004,2015-16,80,276,650,42.5,1060
Klay Thompson,2005,2016-17,78,268,647,41.4,1328
Klay Thompson,2006,2017-18,73,229,520,44,1557
Klay Thompson,2007,2018-19,78,241,599,40.2,1798
Donovan Mitchell,2000,2017-18,79,187,550,34,187
Donovan Mitchell,2001,2018-19,77,188,519,36.2,375
Donovan Mitchell,2002,2019-20,69,173,473,36.6,548
Donovan Mitchell,2003,2020-21,53,178,461,38.6,726
Paul George,2000,2010-11,61,41,138,29.7,41
Paul George,2001,2011-12,66,90,234,38.5,131
Paul George,2002,2012-13,79,170,469,36.2,301
Paul George,2003,2013-14,80,182,500,36.4,483
Paul George,2004,2014-15,6,9,22,40.9,492
Paul George,2005,2015-16,81,210,566,37.1,702
Paul George,2006,2016-17,75,195,496,39.3,897
Paul George,2007,2017-18,79,244,609,40.1,1141
Paul George,2008,2018-19,77,292,757,38.6,1433
Paul George,2009,2019-20,48,157,381,41.2,1590
Paul George,2010,2020-21,54,171,416,41.1,1761
