Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2009-10,76,93,248,37.5,93
2001,2010-11,82,113,324,34.9,206
2002,2011-12,62,114,292,39.0,320
2003,2012-13,78,179,486,36.8,499
2004,2013-14,73,177,483,36.6,676
2005,2014-15,81,208,555,37.5,884
2006,2015-16,82,236,657,35.9,1120
2007,2016-17,81,262,756,34.7,1382
2008,2017-18,72,265,722,36.7,1647
2009,2018-19,78,378,1028,36.8,2025
2010,2019-20,68,299,843,35.5,2324
2011,2020-21,8,25,72,34.7,2349
2012,2020-21,36,96,262,36.6,2445
2013,2020-21,44,121,334,36.2,2566
